sample_date,field,zone,diameter
17/07/2019,Allans 18,1,4
17/07/2019,Allans 18,1,3
17/07/2019,Allans 18,1,5
17/07/2019,Allans 18,1,5
17/07/2019,Allans 18,1,3
17/07/2019,Allans 18,1,4
17/07/2019,Allans 18,1,6
17/07/2019,Allans 18,1,3
17/07/2019,Allans 18,1,3
17/07/2019,Allans 18,1,5
17/07/2019,Allans 18,1,3
17/07/2019,Allans 18,1,1
17/07/2019,Allans 18,1,3
17/07/2019,Allans 18,1,4
17/07/2019,Allans 18,1,5
17/07/2019,Allans 18,1,5
17/07/2019,Allans 18,1,6
17/07/2019,Allans 18,1,3
17/07/2019,Allans 18,1,4
17/07/2019,Allans 18,1,5
17/07/2019,Allans 18,1,3
17/07/2019,Allans 18,1,4
17/07/2019,Allans 18,1,3
17/07/2019,Allans 18,1,4
17/07/2019,Allans 18,1,3
17/07/2019,Allans 18,1,5
17/07/2019,Allans 18,1,5
17/07/2019,Allans 18,1,4
17/07/2019,Allans 18,1,3
17/07/2019,Allans 18,1,3
17/07/2019,Allans 18,1,4
17/07/2019,Allans 18,1,4
17/07/2019,Allans 18,1,4
17/07/2019,Allans 18,1,4
17/07/2019,Allans 18,1,3
17/07/2019,Allans 18,1,5
17/07/2019,Allans 18,1,4
17/07/2019,Allans 18,1,4
17/07/2019,Allans 18,1,7
17/07/2019,Allans 18,1,4
17/07/2019,Allans 18,1,3
17/07/2019,Allans 18,1,4
17/07/2019,Allans 18,1,5
17/07/2019,Allans 18,1,3
17/07/2019,Allans 18,1,2
17/07/2019,Allans 18,2,6
17/07/2019,Allans 18,2,6
17/07/2019,Allans 18,2,2
17/07/2019,Allans 18,2,7
17/07/2019,Allans 18,2,5
17/07/2019,Allans 18,2,5
17/07/2019,Allans 18,2,4
17/07/2019,Allans 18,2,5
17/07/2019,Allans 18,2,3
17/07/2019,Allans 18,2,6
17/07/2019,Allans 18,2,3
17/07/2019,Allans 18,2,3
17/07/2019,Allans 18,2,6
17/07/2019,Allans 18,2,7
17/07/2019,Allans 18,2,4
17/07/2019,Allans 18,2,6
17/07/2019,Allans 18,2,5
17/07/2019,Allans 18,2,4
17/07/2019,Allans 18,2,6
17/07/2019,Allans 18,2,5
17/07/2019,Allans 18,2,7
17/07/2019,Allans 18,2,6
17/07/2019,Allans 18,2,4
17/07/2019,Allans 18,2,7
17/07/2019,Allans 18,2,6
17/07/2019,Allans 18,2,6
17/07/2019,Allans 18,2,5
17/07/2019,Allans 18,2,4
17/07/2019,Allans 18,2,5
17/07/2019,Allans 18,2,5
17/07/2019,Allans 18,2,7
17/07/2019,Allans 18,2,5
17/07/2019,Allans 18,2,5
17/07/2019,Allans 18,2,5
17/07/2019,Allans 18,2,5
17/07/2019,Allans 18,2,4
17/07/2019,Allans 18,2,6
17/07/2019,Allans 18,2,6
17/07/2019,Allans 18,2,7
17/07/2019,Allans 18,2,5
17/07/2019,Allans 18,2,4
17/07/2019,Allans 18,2,6
17/07/2019,Allans 18,2,5
17/07/2019,Allans 18,2,4
17/07/2019,Allans 18,3,4
17/07/2019,Allans 18,3,4
17/07/2019,Allans 18,3,2
17/07/2019,Allans 18,3,3
17/07/2019,Allans 18,3,3
17/07/2019,Allans 18,3,3
17/07/2019,Allans 18,3,5
17/07/2019,Allans 18,3,4
17/07/2019,Allans 18,3,6
17/07/2019,Allans 18,3,2
17/07/2019,Allans 18,3,4
17/07/2019,Allans 18,3,6
17/07/2019,Allans 18,3,4
17/07/2019,Allans 18,3,3
17/07/2019,Allans 18,3,3
17/07/2019,Allans 18,3,2
17/07/2019,Allans 18,3,5
17/07/2019,Allans 18,3,4
17/07/2019,Allans 18,3,4
17/07/2019,Allans 18,3,6
17/07/2019,Allans 18,3,4
17/07/2019,Allans 18,3,5
17/07/2019,Allans 18,3,5
17/07/2019,Allans 18,3,4
17/07/2019,Allans 18,3,3
17/07/2019,Allans 18,3,5
17/07/2019,Allans 18,3,4
17/07/2019,Allans 18,3,3
17/07/2019,Allans 18,3,2
17/07/2019,Allans 18,3,5
17/07/2019,Allans 18,3,4
17/07/2019,Allans 18,3,5
17/07/2019,Allans 18,3,6
17/07/2019,Allans 18,3,5
17/07/2019,Allans 18,3,4
17/07/2019,Allans 18,3,5
17/07/2019,Allans 18,3,4
17/07/2019,Allans 18,3,2
17/07/2019,Allans 18,3,4
17/07/2019,Allans 18,3,3
17/07/2019,Allans 18,3,3
17/07/2019,Allans 18,3,4
17/07/2019,Allans 18,3,2
17/07/2019,Allans 18,4,5
17/07/2019,Allans 18,4,7
17/07/2019,Allans 18,4,6
17/07/2019,Allans 18,4,6
17/07/2019,Allans 18,4,4
17/07/2019,Allans 18,4,4
17/07/2019,Allans 18,4,4
17/07/2019,Allans 18,4,3
17/07/2019,Allans 18,4,5
17/07/2019,Allans 18,4,5
17/07/2019,Allans 18,4,7
17/07/2019,Allans 18,4,4
17/07/2019,Allans 18,4,7
17/07/2019,Allans 18,4,5
17/07/2019,Allans 18,4,7
17/07/2019,Allans 18,4,5
17/07/2019,Allans 18,4,3
17/07/2019,Allans 18,4,5
17/07/2019,Allans 18,4,8
17/07/2019,Allans 18,4,5
17/07/2019,Allans 18,4,6
17/07/2019,Allans 18,4,4
17/07/2019,Allans 18,4,6
17/07/2019,Allans 18,4,4
17/07/2019,Allans 18,4,4
17/07/2019,Allans 18,4,6
17/07/2019,Allans 18,4,3
17/07/2019,Allans 18,4,5
17/07/2019,Allans 18,4,4
17/07/2019,Allans 18,4,7
17/07/2019,Allans 18,4,2
17/07/2019,Allans 18,4,6
17/07/2019,Allans 18,4,5
17/07/2019,Allans 18,4,3
17/07/2019,Allans 18,4,5
17/07/2019,Allans 18,4,5
17/07/2019,Allans 18,4,3
17/07/2019,Allans 18,4,4
17/07/2019,Allans 18,4,6
17/07/2019,Allans 18,4,5
17/07/2019,Allans 18,4,5
17/07/2019,Allans 18,4,8
17/07/2019,Allans 18,4,4
17/07/2019,Allans 18,4,5
17/07/2019,Allans 18,4,3
17/07/2019,Allans 18,4,6
17/07/2019,Allans 18,4,3
17/07/2019,Allans 18,5,3
17/07/2019,Allans 18,5,4
17/07/2019,Allans 18,5,5
17/07/2019,Allans 18,5,4
17/07/2019,Allans 18,5,3
17/07/2019,Allans 18,5,3
17/07/2019,Allans 18,5,3
17/07/2019,Allans 18,5,5
17/07/2019,Allans 18,5,5
17/07/2019,Allans 18,5,2
17/07/2019,Allans 18,5,2
17/07/2019,Allans 18,5,3
17/07/2019,Allans 18,5,2
17/07/2019,Allans 18,5,1
17/07/2019,Allans 18,5,4
17/07/2019,Allans 18,5,4
17/07/2019,Allans 18,5,4
17/07/2019,Allans 18,5,3
17/07/2019,Allans 18,5,2
17/07/2019,Allans 18,5,2
17/07/2019,Allans 18,5,3
17/07/2019,Allans 18,5,5
17/07/2019,Allans 18,5,2
17/07/2019,Allans 18,5,4
17/07/2019,Allans 18,5,2
17/07/2019,Allans 18,5,3
17/07/2019,Allans 18,5,1
17/07/2019,Allans 18,5,4
17/07/2019,Allans 18,5,4
17/07/2019,Allans 18,5,3
17/07/2019,Allans 18,5,2
17/07/2019,Allans 18,5,4
17/07/2019,Allans 18,5,2
17/07/2019,Allans 18,5,5
17/07/2019,Allans 18,5,4
17/07/2019,Allans 18,5,4
17/07/2019,Allans 18,5,3
17/07/2019,Allans 18,5,3
17/07/2019,Allans 18,5,2
17/07/2019,Allans 18,5,5
17/07/2019,Allans 18,5,3
17/07/2019,Allans 18,5,2
17/07/2019,Allans 18,6,4
17/07/2019,Allans 18,6,3
17/07/2019,Allans 18,6,2
17/07/2019,Allans 18,6,3
17/07/2019,Allans 18,6,2
17/07/2019,Allans 18,6,3
17/07/2019,Allans 18,6,3
17/07/2019,Allans 18,6,3
17/07/2019,Allans 18,6,3
17/07/2019,Allans 18,6,2
17/07/2019,Allans 18,6,4
17/07/2019,Allans 18,6,2
17/07/2019,Allans 18,6,3
17/07/2019,Allans 18,6,4
17/07/2019,Allans 18,6,3
17/07/2019,Allans 18,6,2
17/07/2019,Allans 18,6,5
17/07/2019,Allans 18,6,4
17/07/2019,Allans 18,6,1
17/07/2019,Allans 18,6,3
17/07/2019,Allans 18,6,2
17/07/2019,Allans 18,6,2
17/07/2019,Allans 18,6,3
17/07/2019,Allans 18,6,3
17/07/2019,Allans 18,6,2
17/07/2019,Allans 18,6,2
17/07/2019,Allans 18,6,3
17/07/2019,Allans 18,6,1
17/07/2019,Allans 18,6,3
17/07/2019,Allans 18,6,2
17/07/2019,Allans 18,6,2
17/07/2019,Allans 18,6,1
17/07/2019,Allans 18,6,2
17/07/2019,Allans 18,6,2
17/07/2019,Allans 18,6,3
17/07/2019,Allans 18,6,1
17/07/2019,Allans 18,6,3
17/07/2019,Allans 18,6,2
17/07/2019,Allans 18,6,2
17/07/2019,Allans 18,6,4
17/07/2019,Allans 18,6,2
17/07/2019,Allans 18,6,3
17/07/2019,Allans 18,6,1
17/07/2019,Allans 18,6,3
17/07/2019,Allans 18,6,2
18/07/2019,Allans 07,1,3
18/07/2019,Allans 07,1,9
18/07/2019,Allans 07,1,9
18/07/2019,Allans 07,1,8
18/07/2019,Allans 07,1,12
18/07/2019,Allans 07,1,3
18/07/2019,Allans 07,1,6
18/07/2019,Allans 07,1,2
18/07/2019,Allans 07,1,6
18/07/2019,Allans 07,1,5
18/07/2019,Allans 07,1,11
18/07/2019,Allans 07,1,12
18/07/2019,Allans 07,1,8
18/07/2019,Allans 07,1,7
18/07/2019,Allans 07,1,7
18/07/2019,Allans 07,1,7
18/07/2019,Allans 07,1,6
18/07/2019,Allans 07,1,8
18/07/2019,Allans 07,1,9
18/07/2019,Allans 07,1,3
18/07/2019,Allans 07,1,10
18/07/2019,Allans 07,1,3
18/07/2019,Allans 07,1,6
18/07/2019,Allans 07,1,10
18/07/2019,Allans 07,1,6
18/07/2019,Allans 07,1,7
18/07/2019,Allans 07,1,3
18/07/2019,Allans 07,1,12
18/07/2019,Allans 07,1,9
18/07/2019,Allans 07,1,8
18/07/2019,Allans 07,1,11
18/07/2019,Allans 07,1,2
18/07/2019,Allans 07,1,8
18/07/2019,Allans 07,1,4
18/07/2019,Allans 07,1,11
18/07/2019,Allans 07,1,11
18/07/2019,Allans 07,1,9
18/07/2019,Allans 07,1,13
18/07/2019,Allans 07,1,3
18/07/2019,Allans 07,1,1
18/07/2019,Allans 07,1,5
18/07/2019,Allans 07,1,4
18/07/2019,Allans 07,1,15
18/07/2019,Allans 07,1,10
18/07/2019,Allans 07,1,5
18/07/2019,Allans 07,2,7
18/07/2019,Allans 07,2,4
18/07/2019,Allans 07,2,7
18/07/2019,Allans 07,2,9
18/07/2019,Allans 07,2,9
18/07/2019,Allans 07,2,8
18/07/2019,Allans 07,2,6
18/07/2019,Allans 07,2,6
18/07/2019,Allans 07,2,5
18/07/2019,Allans 07,2,3
18/07/2019,Allans 07,2,8
18/07/2019,Allans 07,2,3
18/07/2019,Allans 07,2,7
18/07/2019,Allans 07,2,9
18/07/2019,Allans 07,2,4
18/07/2019,Allans 07,2,5
18/07/2019,Allans 07,2,7
18/07/2019,Allans 07,2,6
18/07/2019,Allans 07,2,12
18/07/2019,Allans 07,2,11
18/07/2019,Allans 07,2,7
18/07/2019,Allans 07,2,14
18/07/2019,Allans 07,2,9
18/07/2019,Allans 07,2,3
18/07/2019,Allans 07,2,11
18/07/2019,Allans 07,2,10
18/07/2019,Allans 07,2,12
18/07/2019,Allans 07,2,7
18/07/2019,Allans 07,2,9
18/07/2019,Allans 07,2,7
18/07/2019,Allans 07,2,9
18/07/2019,Allans 07,2,8
18/07/2019,Allans 07,2,5
18/07/2019,Allans 07,2,12
18/07/2019,Allans 07,2,5
18/07/2019,Allans 07,2,8
18/07/2019,Allans 07,2,8
18/07/2019,Allans 07,2,7
18/07/2019,Allans 07,2,8
18/07/2019,Allans 07,2,8
18/07/2019,Allans 07,2,8
18/07/2019,Allans 07,2,1
18/07/2019,Allans 07,2,5
18/07/2019,Allans 07,2,1
18/07/2019,Allans 07,2,4
18/07/2019,Allans 07,2,7
18/07/2019,Allans 07,2,5
18/07/2019,Allans 07,3,1
18/07/2019,Allans 07,3,10
18/07/2019,Allans 07,3,7
18/07/2019,Allans 07,3,7
18/07/2019,Allans 07,3,7
18/07/2019,Allans 07,3,7
18/07/2019,Allans 07,3,6
18/07/2019,Allans 07,3,7
18/07/2019,Allans 07,3,9
18/07/2019,Allans 07,3,10
18/07/2019,Allans 07,3,5
18/07/2019,Allans 07,3,11
18/07/2019,Allans 07,3,9
18/07/2019,Allans 07,3,7
18/07/2019,Allans 07,3,11
18/07/2019,Allans 07,3,11
18/07/2019,Allans 07,3,2
18/07/2019,Allans 07,3,11
18/07/2019,Allans 07,3,7
18/07/2019,Allans 07,3,9
18/07/2019,Allans 07,3,11
18/07/2019,Allans 07,3,8
18/07/2019,Allans 07,3,5
18/07/2019,Allans 07,3,4
18/07/2019,Allans 07,3,13
18/07/2019,Allans 07,3,9
18/07/2019,Allans 07,3,11
18/07/2019,Allans 07,3,10
18/07/2019,Allans 07,3,8
18/07/2019,Allans 07,3,7
18/07/2019,Allans 07,3,8
18/07/2019,Allans 07,3,10
18/07/2019,Allans 07,3,7
18/07/2019,Allans 07,3,12
18/07/2019,Allans 07,3,9
18/07/2019,Allans 07,3,9
18/07/2019,Allans 07,3,7
18/07/2019,Allans 07,3,5
18/07/2019,Allans 07,3,6
18/07/2019,Allans 07,3,7
18/07/2019,Allans 07,3,7
18/07/2019,Allans 07,3,9
18/07/2019,Allans 07,3,7
18/07/2019,Allans 07,3,7
18/07/2019,Allans 07,3,8
18/07/2019,Allans 07,4,4
18/07/2019,Allans 07,4,7
18/07/2019,Allans 07,4,7
18/07/2019,Allans 07,4,5
18/07/2019,Allans 07,4,8
18/07/2019,Allans 07,4,7
18/07/2019,Allans 07,4,7
18/07/2019,Allans 07,4,5
18/07/2019,Allans 07,4,5
18/07/2019,Allans 07,4,6
18/07/2019,Allans 07,4,8
18/07/2019,Allans 07,4,6
18/07/2019,Allans 07,4,7
18/07/2019,Allans 07,4,8
18/07/2019,Allans 07,4,9
18/07/2019,Allans 07,4,2
18/07/2019,Allans 07,4,1
18/07/2019,Allans 07,4,8
18/07/2019,Allans 07,4,7
18/07/2019,Allans 07,4,5
18/07/2019,Allans 07,4,6
18/07/2019,Allans 07,4,6
18/07/2019,Allans 07,4,7
18/07/2019,Allans 07,4,7
18/07/2019,Allans 07,4,7
18/07/2019,Allans 07,4,7
18/07/2019,Allans 07,4,8
18/07/2019,Allans 07,4,6
18/07/2019,Allans 07,4,5
18/07/2019,Allans 07,4,8
18/07/2019,Allans 07,4,7
18/07/2019,Allans 07,4,6
18/07/2019,Allans 07,4,4
18/07/2019,Allans 07,4,5
18/07/2019,Allans 07,4,6
18/07/2019,Allans 07,4,6
18/07/2019,Allans 07,4,6
18/07/2019,Allans 07,4,3
18/07/2019,Allans 07,4,3
18/07/2019,Allans 07,4,6
18/07/2019,Allans 07,4,7
18/07/2019,Allans 07,4,7
18/07/2019,Allans 07,4,6
18/07/2019,Allans 07,4,5
18/07/2019,Allans 07,4,4
18/07/2019,Allans 07,4,7
18/07/2019,Allans 07,4,4
18/07/2019,Allans 07,4,6
18/07/2019,Garretts Decoy 3,1,20
18/07/2019,Garretts Decoy 3,1,19
18/07/2019,Garretts Decoy 3,1,15
18/07/2019,Garretts Decoy 3,1,23
18/07/2019,Garretts Decoy 3,1,25
18/07/2019,Garretts Decoy 3,1,20
18/07/2019,Garretts Decoy 3,1,25
18/07/2019,Garretts Decoy 3,1,17
18/07/2019,Garretts Decoy 3,1,22
18/07/2019,Garretts Decoy 3,1,26
18/07/2019,Garretts Decoy 3,1,26
18/07/2019,Garretts Decoy 3,1,19
18/07/2019,Garretts Decoy 3,1,19
18/07/2019,Garretts Decoy 3,1,18
18/07/2019,Garretts Decoy 3,1,17
18/07/2019,Garretts Decoy 3,1,20
18/07/2019,Garretts Decoy 3,1,22
18/07/2019,Garretts Decoy 3,1,20
18/07/2019,Garretts Decoy 3,1,18
18/07/2019,Garretts Decoy 3,1,23
18/07/2019,Garretts Decoy 3,1,21
18/07/2019,Garretts Decoy 3,1,21
18/07/2019,Garretts Decoy 3,1,24
18/07/2019,Garretts Decoy 3,1,23
18/07/2019,Garretts Decoy 3,1,28
18/07/2019,Garretts Decoy 3,1,21
18/07/2019,Garretts Decoy 3,1,24
18/07/2019,Garretts Decoy 3,1,19
18/07/2019,Garretts Decoy 3,1,20
18/07/2019,Garretts Decoy 3,1,17
18/07/2019,Garretts Decoy 3,1,23
18/07/2019,Garretts Decoy 3,1,18
18/07/2019,Garretts Decoy 3,1,16
18/07/2019,Garretts Decoy 3,1,19
18/07/2019,Garretts Decoy 3,1,20
18/07/2019,Garretts Decoy 3,1,19
18/07/2019,Garretts Decoy 3,1,25
18/07/2019,Garretts Decoy 3,1,22
18/07/2019,Garretts Decoy 3,2,16
18/07/2019,Garretts Decoy 3,2,20
18/07/2019,Garretts Decoy 3,2,15
18/07/2019,Garretts Decoy 3,2,19
18/07/2019,Garretts Decoy 3,2,16
18/07/2019,Garretts Decoy 3,2,17
18/07/2019,Garretts Decoy 3,2,18
18/07/2019,Garretts Decoy 3,2,14
18/07/2019,Garretts Decoy 3,2,18
18/07/2019,Garretts Decoy 3,2,20
18/07/2019,Garretts Decoy 3,2,17
18/07/2019,Garretts Decoy 3,2,10
18/07/2019,Garretts Decoy 3,2,20
18/07/2019,Garretts Decoy 3,2,15
18/07/2019,Garretts Decoy 3,2,15
18/07/2019,Garretts Decoy 3,2,18
18/07/2019,Garretts Decoy 3,2,19
18/07/2019,Garretts Decoy 3,2,12
18/07/2019,Garretts Decoy 3,2,21
18/07/2019,Garretts Decoy 3,2,13
18/07/2019,Garretts Decoy 3,2,13
18/07/2019,Garretts Decoy 3,2,17
18/07/2019,Garretts Decoy 3,2,19
18/07/2019,Garretts Decoy 3,2,11
18/07/2019,Garretts Decoy 3,2,14
18/07/2019,Garretts Decoy 3,2,19
18/07/2019,Garretts Decoy 3,2,17
18/07/2019,Garretts Decoy 3,2,16
18/07/2019,Garretts Decoy 3,2,9
18/07/2019,Garretts Decoy 3,2,17
18/07/2019,Garretts Decoy 3,2,17
18/07/2019,Garretts Decoy 3,2,12
18/07/2019,Garretts Decoy 3,2,19
18/07/2019,Garretts Decoy 3,2,15
18/07/2019,Garretts Decoy 3,2,15
18/07/2019,Garretts Decoy 3,2,18
18/07/2019,Garretts Decoy 3,2,21
18/07/2019,Garretts Decoy 3,2,12
18/07/2019,Garretts Decoy 3,2,22
18/07/2019,Garretts Decoy 3,2,14
18/07/2019,Garretts Decoy 3,3,14
18/07/2019,Garretts Decoy 3,3,14
18/07/2019,Garretts Decoy 3,3,18
18/07/2019,Garretts Decoy 3,3,18
18/07/2019,Garretts Decoy 3,3,16
18/07/2019,Garretts Decoy 3,3,15
18/07/2019,Garretts Decoy 3,3,16
18/07/2019,Garretts Decoy 3,3,15
18/07/2019,Garretts Decoy 3,3,15
18/07/2019,Garretts Decoy 3,3,19
18/07/2019,Garretts Decoy 3,3,5
18/07/2019,Garretts Decoy 3,3,16
18/07/2019,Garretts Decoy 3,3,16
18/07/2019,Garretts Decoy 3,3,12
18/07/2019,Garretts Decoy 3,3,15
18/07/2019,Garretts Decoy 3,3,22
18/07/2019,Garretts Decoy 3,3,12
18/07/2019,Garretts Decoy 3,3,14
18/07/2019,Garretts Decoy 3,3,10
18/07/2019,Garretts Decoy 3,3,14
18/07/2019,Garretts Decoy 3,3,9
18/07/2019,Garretts Decoy 3,3,17
18/07/2019,Garretts Decoy 3,3,16
18/07/2019,Garretts Decoy 3,3,11
18/07/2019,Garretts Decoy 3,3,14
18/07/2019,Garretts Decoy 3,3,9
18/07/2019,Garretts Decoy 3,3,15
18/07/2019,Garretts Decoy 3,3,11
18/07/2019,Garretts Decoy 3,3,12
18/07/2019,Garretts Decoy 3,3,15
18/07/2019,Garretts Decoy 3,3,16
18/07/2019,Garretts Decoy 3,3,10
18/07/2019,Garretts Decoy 3,3,7
18/07/2019,Garretts Decoy 3,3,10
18/07/2019,Garretts Decoy 3,3,11
18/07/2019,Garretts Decoy 3,3,12
18/07/2019,Garretts Decoy 3,3,15
18/07/2019,Garretts Decoy 3,3,11
18/07/2019,Garretts Decoy 3,3,10
18/07/2019,Garretts Decoy 3,3,12
18/07/2019,Garretts Decoy 3,3,13
18/07/2019,Garretts Decoy 3,4,21
18/07/2019,Garretts Decoy 3,4,20
18/07/2019,Garretts Decoy 3,4,16
18/07/2019,Garretts Decoy 3,4,22
18/07/2019,Garretts Decoy 3,4,18
18/07/2019,Garretts Decoy 3,4,22
18/07/2019,Garretts Decoy 3,4,16
18/07/2019,Garretts Decoy 3,4,17
18/07/2019,Garretts Decoy 3,4,17
18/07/2019,Garretts Decoy 3,4,21
18/07/2019,Garretts Decoy 3,4,20
18/07/2019,Garretts Decoy 3,4,18
18/07/2019,Garretts Decoy 3,4,22
18/07/2019,Garretts Decoy 3,4,23
18/07/2019,Garretts Decoy 3,4,21
18/07/2019,Garretts Decoy 3,4,19
18/07/2019,Garretts Decoy 3,4,23
18/07/2019,Garretts Decoy 3,4,18
18/07/2019,Garretts Decoy 3,4,22
18/07/2019,Garretts Decoy 3,4,19
18/07/2019,Garretts Decoy 3,4,21
18/07/2019,Garretts Decoy 3,4,16
18/07/2019,Garretts Decoy 3,4,13
18/07/2019,Garretts Decoy 3,4,23
18/07/2019,Garretts Decoy 3,4,15
18/07/2019,Garretts Decoy 3,4,22
18/07/2019,Garretts Decoy 3,4,19
18/07/2019,Garretts Decoy 3,4,16
18/07/2019,Garretts Decoy 3,4,18
18/07/2019,Garretts Decoy 3,4,21
18/07/2019,Garretts Decoy 3,4,17
18/07/2019,Garretts Decoy 3,4,18
18/07/2019,Garretts Decoy 3,4,22
18/07/2019,Garretts Decoy 3,4,22
18/07/2019,Garretts Decoy 3,4,18
18/07/2019,Garretts Decoy 3,4,19
18/07/2019,Garretts Decoy 3,4,19
18/07/2019,Garretts Decoy 3,4,18
18/07/2019,Garretts Decoy 3,4,23
18/07/2019,Garretts Decoy 3,4,18
18/07/2019,Garretts GS1&2,1,25
18/07/2019,Garretts GS1&2,1,26
18/07/2019,Garretts GS1&2,1,22
18/07/2019,Garretts GS1&2,1,28
18/07/2019,Garretts GS1&2,1,28
18/07/2019,Garretts GS1&2,1,31
18/07/2019,Garretts GS1&2,1,29
18/07/2019,Garretts GS1&2,1,23
18/07/2019,Garretts GS1&2,1,32
18/07/2019,Garretts GS1&2,1,24
18/07/2019,Garretts GS1&2,1,25
18/07/2019,Garretts GS1&2,1,28
18/07/2019,Garretts GS1&2,1,29
18/07/2019,Garretts GS1&2,1,25
18/07/2019,Garretts GS1&2,1,25
18/07/2019,Garretts GS1&2,1,16
18/07/2019,Garretts GS1&2,1,25
18/07/2019,Garretts GS1&2,1,24
18/07/2019,Garretts GS1&2,1,26
18/07/2019,Garretts GS1&2,1,26
18/07/2019,Garretts GS1&2,1,24
18/07/2019,Garretts GS1&2,1,19
18/07/2019,Garretts GS1&2,1,32
18/07/2019,Garretts GS1&2,1,22
18/07/2019,Garretts GS1&2,1,21
18/07/2019,Garretts GS1&2,1,28
18/07/2019,Garretts GS1&2,1,25
18/07/2019,Garretts GS1&2,1,32
18/07/2019,Garretts GS1&2,1,26
18/07/2019,Garretts GS1&2,1,27
18/07/2019,Garretts GS1&2,1,34
18/07/2019,Garretts GS1&2,1,24
18/07/2019,Garretts GS1&2,1,18
18/07/2019,Garretts GS1&2,1,30
18/07/2019,Garretts GS1&2,1,21
18/07/2019,Garretts GS1&2,1,24
18/07/2019,Garretts GS1&2,1,26
18/07/2019,Garretts GS1&2,1,24
18/07/2019,Garretts GS1&2,1,22
18/07/2019,Garretts GS1&2,1,21
18/07/2019,Garretts GS1&2,1,20
18/07/2019,Garretts GS1&2,1,20
18/07/2019,Garretts GS1&2,1,28
18/07/2019,Garretts GS1&2,1,28
18/07/2019,Garretts GS1&2,2,17
18/07/2019,Garretts GS1&2,2,19
18/07/2019,Garretts GS1&2,2,26
18/07/2019,Garretts GS1&2,2,19
18/07/2019,Garretts GS1&2,2,21
18/07/2019,Garretts GS1&2,2,20
18/07/2019,Garretts GS1&2,2,15
18/07/2019,Garretts GS1&2,2,22
18/07/2019,Garretts GS1&2,2,18
18/07/2019,Garretts GS1&2,2,14
18/07/2019,Garretts GS1&2,2,12
18/07/2019,Garretts GS1&2,2,17
18/07/2019,Garretts GS1&2,2,21
18/07/2019,Garretts GS1&2,2,14
18/07/2019,Garretts GS1&2,2,17
18/07/2019,Garretts GS1&2,2,16
18/07/2019,Garretts GS1&2,2,19
18/07/2019,Garretts GS1&2,2,20
18/07/2019,Garretts GS1&2,2,22
18/07/2019,Garretts GS1&2,2,18
18/07/2019,Garretts GS1&2,2,21
18/07/2019,Garretts GS1&2,2,19
18/07/2019,Garretts GS1&2,2,20
18/07/2019,Garretts GS1&2,2,20
18/07/2019,Garretts GS1&2,2,14
18/07/2019,Garretts GS1&2,2,16
18/07/2019,Garretts GS1&2,2,16
18/07/2019,Garretts GS1&2,2,16
18/07/2019,Garretts GS1&2,2,17
18/07/2019,Garretts GS1&2,2,16
18/07/2019,Garretts GS1&2,2,22
18/07/2019,Garretts GS1&2,2,22
18/07/2019,Garretts GS1&2,2,15
18/07/2019,Garretts GS1&2,2,18
18/07/2019,Garretts GS1&2,2,22
18/07/2019,Garretts GS1&2,2,22
18/07/2019,Garretts GS1&2,2,21
18/07/2019,Garretts GS1&2,2,18
18/07/2019,Garretts GS1&2,2,17
18/07/2019,Garretts GS1&2,2,14
18/07/2019,Garretts GS1&2,2,18
18/07/2019,Garretts GS1&2,2,16
18/07/2019,Garretts GS1&2,2,17
18/07/2019,Garretts GS1&2,3,17
18/07/2019,Garretts GS1&2,3,15
18/07/2019,Garretts GS1&2,3,14
18/07/2019,Garretts GS1&2,3,18
18/07/2019,Garretts GS1&2,3,18
18/07/2019,Garretts GS1&2,3,19
18/07/2019,Garretts GS1&2,3,18
18/07/2019,Garretts GS1&2,3,19
18/07/2019,Garretts GS1&2,3,10
18/07/2019,Garretts GS1&2,3,17
18/07/2019,Garretts GS1&2,3,16
18/07/2019,Garretts GS1&2,3,20
18/07/2019,Garretts GS1&2,3,23
18/07/2019,Garretts GS1&2,3,23
18/07/2019,Garretts GS1&2,3,21
18/07/2019,Garretts GS1&2,3,15
18/07/2019,Garretts GS1&2,3,16
18/07/2019,Garretts GS1&2,3,16
18/07/2019,Garretts GS1&2,3,19
18/07/2019,Garretts GS1&2,3,13
18/07/2019,Garretts GS1&2,3,21
18/07/2019,Garretts GS1&2,3,22
18/07/2019,Garretts GS1&2,3,26
18/07/2019,Garretts GS1&2,3,23
18/07/2019,Garretts GS1&2,3,22
18/07/2019,Garretts GS1&2,3,18
18/07/2019,Garretts GS1&2,3,19
18/07/2019,Garretts GS1&2,3,17
18/07/2019,Garretts GS1&2,3,14
18/07/2019,Garretts GS1&2,3,19
18/07/2019,Garretts GS1&2,3,11
18/07/2019,Garretts GS1&2,3,11
18/07/2019,Garretts GS1&2,3,17
18/07/2019,Garretts GS1&2,3,12
18/07/2019,Garretts GS1&2,3,15
18/07/2019,Garretts GS1&2,3,21
18/07/2019,Garretts GS1&2,3,20
18/07/2019,Garretts GS1&2,3,17
18/07/2019,Garretts GS1&2,3,23
18/07/2019,Garretts GS1&2,3,20
18/07/2019,Garretts GS1&2,3,17
18/07/2019,Garretts GS1&2,3,7
18/07/2019,Garretts GS1&2,3,18
18/07/2019,Garretts GS1&2,3,19
18/07/2019,Garretts GS1&2,3,18
18/07/2019,Garretts GS1&2,4,18
18/07/2019,Garretts GS1&2,4,10
